date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:30:18	58325/58325	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Apr%202025%2017:41:54%20GMT	https://chatgpt-bible.dariuslukas.com/offer	C:/My%20Web%20Sites/chat%20bible/chatgpt-bible.dariuslukas.com/offer.html	(from )
23:30:18	448/448	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Apr%202025%2002:30:29%20GMT	https://chatgpt-bible.dariuslukas.com/robots.txt		(from )
23:30:19	80426/80426	---M-Z	200	added ('OK')	text/css	etag:%2297a3d9df895e17e88f3a0aff8b436b14%22	https://cdn.prod.website-files.com/67ab717bc902c98b4587761c/css/chatgpt-bible.webflow.d6b4d714b.css	C:/My%20Web%20Sites/chat%20bible/cdn.prod.website-files.com/67ab717bc902c98b4587761c/css/chatgpt-bible.webflow.d6b4d714b.css	(from https://chatgpt-bible.dariuslukas.com/offer)
23:30:19	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/chat%20bible/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://chatgpt-bible.dariuslukas.com/offer)
23:30:19	815/815	---M--	200	added ('OK')	image/png	etag:%22f48c5eb7ebd898a183b5165738edea5c%22	https://cdn.prod.website-files.com/67ab717bc902c98b4587761c/67cda225171b8d001c8ab4e6_favicon.png	C:/My%20Web%20Sites/chat%20bible/cdn.prod.website-files.com/67ab717bc902c98b4587761c/67cda225171b8d001c8ab4e6_favicon.png	(from https://chatgpt-bible.dariuslukas.com/offer)
23:30:19	4807/4807	---M--	200	added ('OK')	image/png	etag:%224ff20fa6aa65e68a21f28fefb0a2c3e9%22	https://cdn.prod.website-files.com/img/webclip.png	C:/My%20Web%20Sites/chat%20bible/cdn.prod.website-files.com/img/webclip.png	(from https://chatgpt-bible.dariuslukas.com/offer)
23:30:20	278013/278013	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2028%20Apr%202025%2002:30:30%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/chat%20bible/connect.facebook.net/en_US/fbevents.js	(from https://chatgpt-bible.dariuslukas.com/offer)
23:30:20	2326/2326	---M--	200	added ('OK')	image/png	etag:%22debe2b865062652a604bb5d9e57d32b4%22	https://cdn.prod.website-files.com/67ab717bc902c98b4587761c/67ab7c695306d69ac0694e37_purple%20check.png	C:/My%20Web%20Sites/chat%20bible/cdn.prod.website-files.com/67ab717bc902c98b4587761c/67ab7c695306d69ac0694e37_purple%20check.png	(from https://chatgpt-bible.dariuslukas.com/offer)
23:30:20	19853/19853	---M--	200	added ('OK')	image/png	etag:%2206f7c62930dfdaccdb2377c87acb8208%22	https://cdn.prod.website-files.com/67ab717bc902c98b4587761c/67ab8b23d3a249d3e6552d70_stars.png	C:/My%20Web%20Sites/chat%20bible/cdn.prod.website-files.com/67ab717bc902c98b4587761c/67ab8b23d3a249d3e6552d70_stars.png	(from https://chatgpt-bible.dariuslukas.com/offer)
23:30:20	4478/4478	---M--	200	added ('OK')	image/png	etag:%227fca806ad149936efc4a4908948d5009%22	https://cdn.prod.website-files.com/67ab717bc902c98b4587761c/67ab99d6d3a249d3e664f193_c8a61e13-time-left_103e03c000000000000000.png	C:/My%20Web%20Sites/chat%20bible/cdn.prod.website-files.com/67ab717bc902c98b4587761c/67ab99d6d3a249d3e664f193_c8a61e13-time-left_103e03c000000000000000.png	(from https://chatgpt-bible.dariuslukas.com/offer)
23:30:21	4507/4507	---M--	200	added ('OK')	image/png	etag:%220c2a864bc75405f88e0950ee226099be%22	https://cdn.prod.website-files.com/67ab717bc902c98b4587761c/67ab9829147fced0ffa67d31_72eda197-deadline_105a05a04603y00o00o000.png	C:/My%20Web%20Sites/chat%20bible/cdn.prod.website-files.com/67ab717bc902c98b4587761c/67ab9829147fced0ffa67d31_72eda197-deadline_105a05a04603y00o00o000.png	(from https://chatgpt-bible.dariuslukas.com/offer)
23:30:21	5219/5219	---M--	200	added ('OK')	image/png	etag:%22bfd560d002cec108c3603769be4abdd2%22	https://cdn.prod.website-files.com/67ab717bc902c98b4587761c/67ab9829a756176650a1520b_470758e5-money_103s03s000000000000000.png	C:/My%20Web%20Sites/chat%20bible/cdn.prod.website-files.com/67ab717bc902c98b4587761c/67ab9829a756176650a1520b_470758e5-money_103s03s000000000000000.png	(from https://chatgpt-bible.dariuslukas.com/offer)
23:30:21	7884/7884	---M--	200	added ('OK')	image/png	etag:%224739485ac19736ed4880b87e6388ed59%22	https://cdn.prod.website-files.com/67ab717bc902c98b4587761c/67ab9a4b38b0f7b645ed3b53_gurantee.png	C:/My%20Web%20Sites/chat%20bible/cdn.prod.website-files.com/67ab717bc902c98b4587761c/67ab9a4b38b0f7b645ed3b53_gurantee.png	(from https://chatgpt-bible.dariuslukas.com/offer)
23:30:21	2650/2650	---M--	200	added ('OK')	image/png	etag:%2260ef814344f0ef4e66197f9de307cc80%22	https://cdn.prod.website-files.com/67ab717bc902c98b4587761c/67ab983d56a62d929b4368d4_streamline.png	C:/My%20Web%20Sites/chat%20bible/cdn.prod.website-files.com/67ab717bc902c98b4587761c/67ab983d56a62d929b4368d4_streamline.png	(from https://chatgpt-bible.dariuslukas.com/offer)
23:30:21	6140/6140	---M--	200	added ('OK')	image/png	etag:%22b22b508964e6782e4f7360af433b586a%22	https://cdn.prod.website-files.com/67ab717bc902c98b4587761c/67ab983dfad9508066747d12_stop.png	C:/My%20Web%20Sites/chat%20bible/cdn.prod.website-files.com/67ab717bc902c98b4587761c/67ab983dfad9508066747d12_stop.png	(from https://chatgpt-bible.dariuslukas.com/offer)
23:30:22	39064/39064	---M--	200	added ('OK')	image/png	etag:%222d027c394de19ed870c12e3643cfc3a6%22	https://cdn.prod.website-files.com/67ab717bc902c98b4587761c/67aba3fd7da80c137d59fa72_testi1.png	C:/My%20Web%20Sites/chat%20bible/cdn.prod.website-files.com/67ab717bc902c98b4587761c/67aba3fd7da80c137d59fa72_testi1.png	(from https://chatgpt-bible.dariuslukas.com/offer)
23:30:22	69843/69843	---M--	200	added ('OK')	image/png	etag:%228540c61ea454e7b99ab3ebdb19715b6c%22	https://cdn.prod.website-files.com/67ab717bc902c98b4587761c/67aba3fde1901031dbcab2a8_testi2.png	C:/My%20Web%20Sites/chat%20bible/cdn.prod.website-files.com/67ab717bc902c98b4587761c/67aba3fde1901031dbcab2a8_testi2.png	(from https://chatgpt-bible.dariuslukas.com/offer)
